id,年,月,17業種コード,33業種コード,規模コード,売上高,収益,経常利益,営業利益,当期純利益,税引前利益,包括利益,純資産額,総資産額,現金及び現金同等物の期末残高,従業員数,最低株価,最高株価,株主総利回り,株主資本比率,株価収益率,発行済株式総数,自己資本利益率,自己資本比率,財務活動によるキャッシュ・フロー,営業活動によるキャッシュ・フロー,投資活動によるキャッシュ・フロー,基本的1株当たり当期利益,基本的1株当たり親会社の所有者に帰属する当期利益,希薄化後１株当たり当期利益,希薄化後１株当たり当社株主に帰属する当期純利益,１株当たり当期純利益,１株当たり当社株主に帰属する当期純利益,１株当たり株主資本,１株当たり潜在株式調整後当期純利益金額,１株当たり純資産額,１株当たり親会社所有者帰属持分,１株当たり配当額親会社の所有者に帰属する当期利益,親会社の所有者に帰属する当期包括利益,親会社の所有者に帰属する持分,親会社所有者帰属持分当期利益率,親会社所有者帰属持分比率,親会社株主に帰属する当期純利益,資本金,配当性向
0,2015,3,10,3800,2,565486.0,,59383.0,,,,43356.0,303512.0,441763.0,153764.0,7221.0,,,13.7,,,,13.2,68.6,-12591.0,50103.0,-19515.0,,,,,171.1,,,171.08,,,,,,,,,,
0,2016,3,10,3800,2,575504.0,,50774.0,,,,27377.0,317304.0,448336.0,169542.0,7391.0,,,15.6,,,,11.2,70.6,-16123.0,58049.0,-23425.0,,,,,157.43,,,157.39,,,,,,,,,,
0,2017,3,10,3800,2,620061.0,,63290.0,,,,43104.0,348784.0,488032.0,205667.0,7561.0,,,16.6,,,,13.3,71.3,-13171.0,64136.0,-13016.0,,,,,201.03,,,200.97,,,,,,,,,,
0,2018,3,10,3800,2,678312.0,,75380.0,,,,56024.0,387354.0,540490.0,180831.0,7871.0,,,14.2,,,,14.7,71.5,-17086.0,55138.0,-63338.0,,,,,246.29,,,246.23,,,,,,,,,,
0,2019,3,10,3800,2,732347.0,,86863.0,,,,69952.0,429644.0,612955.0,206270.0,8360.0,,,18.0,,,,15.5,70.0,-28972.0,79811.0,-24899.0,,,,,288.4,,,,,,,,,,,,,
1,2015,3,15,7050,4,,130035.0,59671.0,,,,90295.0,567414.0,4924472.0,500900.0,1794.0,,,,,11.76,,10.87,11.5,-39083.0,-139546.0,291989.0,,,,,36.19,,,27.77,,,,,,,,,,
1,2016,3,15,7050,4,,124054.0,55721.0,,,,23158.0,405498.0,4592921.0,489707.0,1852.0,,,,,10.53,,10.63,8.8,-185339.0,180160.0,-6014.0,,,,,37.29,,,34.36,,,,,,,,,,
1,2017,3,15,7050,4,,134704.0,51764.0,,,,35270.0,420345.0,4586007.0,474001.0,1929.0,,,,,10.9,,10.65,9.1,-20705.0,33243.0,-28244.0,,,,,375.93,,,375.7,,,,,,,,,,
1,2018,3,15,7050,4,,148819.0,57984.0,,,,38609.0,437234.0,4912792.0,468031.0,2062.0,,,,,11.47,,10.08,8.9,-21990.0,227599.0,-211578.0,,,,,369.16,,,368.89,,,,,,,,,,
1,2019,3,15,7050,4,,160136.0,47796.0,,,,30923.0,448710.0,5255048.0,539743.0,2193.0,,,,,8.83,,8.17,8.5,-19710.0,147285.0,-55862.0,,,,,309.67,,,309.42,,,,,,,,,,
2,2015,3,15,7050,4,,228007.0,60763.0,,,,77678.0,778093.0,15661794.0,1752714.0,6805.0,,,,,14.63,,5.05,4.8,-32289.0,989644.0,-416303.0,,,,,42.29,,,,,,,,,,,,,
2,2016,3,15,7050,4,,236707.0,71426.0,,,,43138.0,784691.0,16406109.0,1829586.0,6823.0,,,,,7.09,,5.81,4.78,-99041.0,315044.0,-139028.0,,,,,51.75,,,,,,,,,,,,,
2,2017,3,15,7050,4,,235767.0,-34441.0,,,,-54410.0,712058.0,18113049.0,2874917.0,6865.0,,,,,,,-7.25,3.93,-20696.0,1152326.0,-86273.0,,,,,-63.22,,,,,,,,,,,,,
2,2018,3,15,7050,4,,237572.0,71636.0,,,,78909.0,778973.0,20163679.0,4168303.0,6811.0,,,,,9.96,,6.62,3.86,-11993.0,1159776.0,145640.0,,,,,287.42,,,,,,,,,,,,,
2,2019,3,15,7050,4,,246112.0,74093.0,,,,12053.0,777308.0,20839786.0,4489326.0,6717.0,,,,,8.16,,6.63,3.72,-33717.0,-5725.0,360435.0,,,,,300.71,,,,,,,,,,,,,
3,2015,3,15,7050,1,,3180225.0,1010867.0,,,,1941073.0,9800538.0,189684749.0,27840775.0,54784.0,,,,,8.47,,8.6,4.3,-903401.0,6654958.0,2619227.0,,,,,,,,,,,,,,,,,,
3,2016,3,15,7050,1,,3215274.0,997529.0,,,,304594.0,9353244.0,193458580.0,35089122.0,56375.0,,,,,6.23,,8.37,4.22,-521023.0,4104197.0,3687897.0,,,,,,,,,,,,,,,,,,
3,2017,3,15,7050,1,,3292900.0,737512.0,,,,558131.0,9273361.0,200508610.0,45523663.0,59179.0,,,,,8.54,,7.27,4.25,-24537.0,4690131.0,5796391.0,,,,,,,,,,,,,,,,,,
3,2018,3,15,7050,1,,3561125.0,782447.0,,,,765559.0,9821246.0,205028300.0,46334334.0,60051.0,,,,,8.42,,6.55,4.42,149962.0,2966701.0,-2316197.0,,,,,,,,,,,,,,,,,,
3,2019,3,15,7050,1,,3925649.0,614118.0,,,,-110542.0,9194038.0,200792226.0,44254874.0,59132.0,,,,,44.99,,1.08,4.35,-18640.0,-2636096.0,5487153.0,,,,,,,,,,,,,,,,,,
4,2015,3,15,7050,2,,861278.0,333316.0,,,,416856.0,,46586565.0,9456393.0,16436.0,,,,,6.55,,11.13,4.24,-290120.0,1103471.0,2328201.0,,,,,91.07,,,84.28,690.66,,,,,,,,,
4,2016,3,15,7050,2,,817408.0,251705.0,,,,91607.0,,49126435.0,13350719.0,16674.0,,,,,5.3,,9.68,3.69,-464969.0,3065728.0,1293625.0,,,,,75.73,,,,705.81,,,,,,,,,
4,2017,3,15,7050,2,,757955.0,226278.0,,,,237718.0,,48456133.0,12489100.0,16860.0,,,,,8.93,,8.62,3.98,-316808.0,-757454.0,212667.0,,,,,66.89,,,,786.94,,,,,,,,,
4,2018,3,15,7050,2,,742927.0,217777.0,,,,311063.0,,50243789.0,13256798.0,16785.0,,,,,5.59,,11.77,4.15,-265843.0,923028.0,110518.0,,,,,100.51,,,,900.72,,,,,,,,,
4,2019,3,15,7050,2,,860706.0,203018.0,,,,112287.0,,59110075.0,14707458.0,21600.0,,,,,6.34,,8.34,3.57,-53636.0,324420.0,243591.0,,,,,75.63,,,75.63,911.17,,,,,,,,,
5,2015,3,9,3650,4,163803.0,,,,,20767.0,23541.0,,233237.0,,4564.0,,,15.8,,,,,,-1298.0,24481.0,-1310.0,96.15,,87.67,,,,,,,583.28,,23541.0,101810.0,18.5,43.7,,,
5,2016,3,9,3650,4,162111.0,,,,,11767.0,-4732.0,,210451.0,,4494.0,,,27.14,,,,,,-13531.0,7728.0,-2395.0,38.35,,35.38,,,,,,,536.28,,-4732.0,93619.0,6.9,44.5,,,
5,2017,3,9,3650,4,155916.0,,,,,15022.0,16144.0,,231603.0,,4414.0,,,25.66,,,,,,-1002.0,15833.0,-3521.0,81.07,,73.95,,,,,,,619.33,,16144.0,109517.0,14.0,47.3,,,
5,2018,3,9,3650,4,207223.0,,,,,24282.0,15230.0,,254559.0,,4457.0,,,21.87,,,,,,-15237.0,28254.0,-2329.0,101.94,,92.69,,,,,,,696.04,,15230.0,124610.0,15.5,49.0,,,
5,2019,3,9,3650,4,282456.0,,,,,66211.0,56645.0,,304580.0,,4630.0,,,8.51,,,,,,-13724.0,44792.0,-15915.0,302.35,,287.37,,,,,,,1004.53,,56645.0,198731.0,35.3,65.2,,,
6,2018,3,8,3600,4,301732.0,,,39723.0,,40765.0,29707.0,,556104.0,80464.0,8446.0,,,17.4,,,,,,-17441.0,32586.0,-27168.0,74.07,,74.06,,,,,,,1186.66,,29707.0,434091.0,6.4,78.1,,,
6,2019,3,8,3600,4,338175.0,,,45316.0,,47913.0,33197.0,,567051.0,56295.0,9256.0,,,11.9,,,,,,-31876.0,39982.0,-31189.0,91.82,,91.82,,,,,,,1238.18,,33197.0,441548.0,7.6,77.9,,,
7,2017,12,8,3600,2,1751038.0,,,,,214007.0,148460.0,,2832364.0,230720.0,39410.0,,,20.37,,,,,,-32575.0,137185.0,-45984.0,,,,,,,,,,1046.55,,148460.0,1291094.0,10.8,45.6,,1375568.0,
7,2018,12,8,3600,2,1850316.0,,,,,197230.0,87544.0,,2895655.0,229123.0,40202.0,,,13.89,,,,,,-27816.0,89148.0,-58756.0,,,,,,,,,,1087.44,,87544.0,1339850.0,10.5,46.3,,1426433.0,
7,2019,12,8,3600,2,1920042.0,,,,,209022.0,167048.0,,3139318.0,199665.0,41027.0,,,14.2,,,,,,-21515.0,82410.0,-91470.0,,,,,,,,,,1182.72,,167048.0,1442837.0,10.7,46.0,,1537214.0,
8,2015,12,4,3200,4,521721.0,,64535.0,,,,30675.0,503589.0,701770.0,54750.0,8405.0,,,14.45,,,,7.4,70.7,-24353.0,93228.0,-48553.0,,,,,101.84,,,101.57,,,,,,,,,,
8,2016,12,4,3200,4,485192.0,,66181.0,,,,32438.0,520978.0,725433.0,83389.0,8590.0,,,15.27,,,,8.0,70.7,-14701.0,93923.0,-49300.0,,,,,114.98,,,114.75,,,,,,,,,,
8,2017,12,4,3200,4,518442.0,,74235.0,,,,60822.0,565487.0,776735.0,70234.0,9089.0,,,13.73,,,,10.2,71.7,-17176.0,84606.0,-79896.0,,,,,154.85,,,154.44,,,,,,,,,,
8,2018,12,4,3200,4,602996.0,,61167.0,,,,16285.0,567033.0,947095.0,71345.0,10768.0,,,16.14,,,,6.0,58.6,114088.0,75171.0,-186982.0,,,,,96.05,,,95.86,,,,,,,,,,
8,2019,12,4,3200,4,575807.0,,48271.0,,,,-8137.0,538545.0,991149.0,75967.0,11115.0,,,,,,,-0.4,53.0,-1517.0,95577.0,-89369.0,,,,,-5.66,,,,,,,,,,,,,
9,2018,3,16,7200,4,,293250.0,,,,52850.0,39798.0,,2946978.0,73179.0,5599.0,,,7.42,,,,,,92945.0,-40023.0,-45134.0,235.39,,,,,,,,,2993.18,,39798.0,488883.0,8.15,16.59,,,
9,2019,3,16,7200,4,,304855.0,,,,45763.0,20314.0,,3212465.0,82642.0,5584.0,,,7.82,,,,,,242211.0,-192438.0,-40313.0,186.84,,,,,,,,,3006.14,,20314.0,490998.0,6.23,15.28,,,
10,2017,3,15,7050,4,,329476.0,97168.0,,,,128981.0,1113703.0,18739930.0,3142979.0,6343.0,,,,,5.25,,12.22,5.91,-64149.0,1006035.0,79458.0,,,,,98.08,,,98.01,,,,,,,,,,
10,2018,3,15,7050,4,,327600.0,98022.0,,,,72343.0,1154002.0,18660581.0,2806276.0,6315.0,,,,,11.21,,5.88,6.15,-12067.0,-606618.0,281992.0,,,,,52.36,,,52.32,,,,,,,,,,
10,2019,3,15,7050,4,,306494.0,80373.0,,,,35802.0,1160147.0,18947097.0,2895885.0,6228.0,,,,,9.82,,4.71,6.09,-9714.0,247695.0,-148380.0,,,,,43.46,,,43.44,,,,,,,,,,
11,2015,9,10,9050,4,254381.0,,32314.0,,,,18016.0,77702.0,131188.0,38716.0,3432.0,,,19.73,,,,24.4,50.8,-2362.0,29021.0,-19492.0,,,,,,,,,,,,,,,,,,
11,2016,9,10,9050,4,310665.0,,35341.0,,,,18476.0,92614.0,156597.0,51767.0,3858.0,,,27.61,,,,18.9,49.3,453.0,28246.0,-15224.0,,,,,,,,,,,,,,,,,,
11,2017,9,10,9050,4,371362.0,,28741.0,,,,14501.0,98785.0,164009.0,46613.0,4416.0,,,102.5,,,,5.2,48.1,-7233.0,21624.0,-20396.0,,,,,,,,,,,,,,,,,,
11,2018,9,10,9050,4,419512.0,,28565.0,,,,11416.0,109250.0,225484.0,92379.0,4853.0,,,156.98,,,,6.0,36.2,39748.0,28394.0,-22410.0,,,,,,,,,,,,,,,,,,
11,2019,9,10,9050,4,453611.0,,30493.0,,,,5670.0,110352.0,224876.0,84563.0,5139.0,,,308.55,,,,2.1,35.2,-4662.0,14917.0,-18000.0,,,,,,,,,,,,,,,,,,
12,2015,3,8,3600,4,1355992.0,,79379.0,,,,95543.0,499773.0,1126235.0,65417.0,43912.0,,,15.1,,,,9.78,42.04,-36475.0,103386.0,-62072.0,,,,,124.24,,,,1380.51,,,,,,,,,
12,2016,3,8,3600,4,1399987.0,,81260.0,,,,-3823.0,480066.0,1075835.0,61668.0,43938.0,,,10.29,,,,10.48,42.32,-49301.0,110125.0,-59923.0,,,,,141.91,,,,1327.34,,,,,,,,,
