id,stock_2015,stock_2016,stock_2017,stock_2018
0,2561.03,2903.59,3625.23,4059.49
1,3707.4,3178.81,4000.48,3786.27
2,2469.84,1967.28,2433.44,2993.59
3,186.13,151.1,177.38,185.18
4,506.67,379.44,516.81,599.63
5,823.37,1390.29,2201.58,2257.12
6,771.17,947.48,1129.2,1091.38
7,1532.43,1497.37,2000.58,1908.05
8,1269.89,1355.05,1942.85,1585.65
9,1929.82,1545.66,2142.26,1684.97
10,,418.89,533.01,532.15
11,2278.17,3008.39,3199.59,5518.16
12,1458.49,1428.07,1479.15,1607.49
13,2145.15,1978.93,2788.61,2545.07
14,481.82,447.54,457.58,507.68
15,4956.73,4409.54,4142.83,4947.91
16,2070.15,3429.2,2448.38,1920.22
17,4466.61,3798.8,5341.4,5386.71
18,915.6,2300.87,2516.28,2885.14
19,1313.51,1391.22,1777.03,2005.09
20,1419.7,2128.36,2798.87,2849.34
21,1272.94,1593.68,1515.77,3024.2
22,46375.65,33139.33,33882.82,57252.36
23,457.22,545.52,860.72,495.59
24,3446.27,3338.98,4649.07,3966.81
25,1187.46,1390.55,2427.35,3632.33
26,1113.79,858.82,1070.75,1201.93
27,3787.51,3013.4,3858.98,4342.27
28,1642.67,1401.57,1443.83,2155.0
29,531.15,580.08,981.32,1003.3
30,625.03,468.64,656.08,681.41
31,1718.11,1037.99,1173.48,1296.28
32,1323.8,1329.06,1607.82,2421.02
33,764.21,544.88,767.57,747.97
34,2698.39,2331.1,3250.62,3160.87
35,700.01,554.45,619.94,674.32
36,916.01,897.42,1280.03,1019.65
37,1149.85,1479.62,3563.18,3314.53
38,1529.94,2126.77,2994.68,3161.92
39,2427.11,1562.71,1817.85,1834.0
40,1737.77,2151.29,2507.65,2615.58
41,1628.65,1454.36,1871.15,2415.68
42,3022.05,2503.65,4075.0,3800.0
43,1225.62,881.51,1282.72,1012.94
44,2035.76,2877.6,3568.54,3713.09
45,2517.06,2620.05,4370.68,8121.19
46,1172.15,848.4,1394.98,1348.63
47,5588.06,4803.61,4757.91,5204.2
48,1080.98,769.53,964.2,989.23
49,1811.08,1666.69,2079.29,1776.94
50,2783.47,2729.42,3750.58,4095.42
51,1143.96,982.65,1173.15,1506.49
52,1731.92,2198.99,2333.79,2819.93
53,2762.56,6305.32,7425.14,6323.83
54,3559.52,3379.0,3533.36,3179.27
55,974.68,857.94,1679.31,1589.53
56,1214.93,1060.04,1532.38,1862.83
57,1065.92,1123.6,1397.25,1639.25
58,3545.37,3447.54,4667.23,4732.09
59,1408.44,1462.44,1394.26,1921.83
60,3098.62,2403.54,2873.21,2885.01
61,1755.76,1390.4,1654.62,2641.38
62,1174.24,1691.06,1580.67,2374.1
63,6389.26,5964.98,5590.75,10649.4
64,3455.3,3645.43,5598.11,4814.98
65,907.12,910.76,959.57,1093.37
66,3424.01,3730.99,6084.87,6097.0
67,2047.3,1380.39,1604.5,1877.0
68,3286.46,3158.02,3536.65,6332.94
69,3183.02,2788.21,3790.03,3506.46
70,1415.24,1551.55,2525.8,2661.85
71,2418.74,3851.41,5203.4,4257.97
72,1064.89,776.49,865.4,1149.57
73,1292.3,1662.38,2567.17,3105.74
74,2193.59,2713.01,3177.22,2249.51
75,717.49,492.93,701.74,695.0
76,3452.04,3347.16,5686.77,6131.49
77,1454.72,1756.92,2454.63,1819.08
78,6644.03,7161.94,8021.22,9222.46
79,2838.6,3345.18,4085.34,6475.0
80,1668.57,1242.25,1656.35,2412.76
81,2660.18,3234.02,4521.13,5482.33
82,6534.28,9394.97,11339.39,14580.72
83,1640.42,1915.78,2214.89,3404.44
84,2058.61,2053.4,3413.46,3711.36
85,6269.74,5385.55,6288.55,6619.72
86,4260.0,3645.0,5680.0,7020.0
87,1084.46,962.05,1513.3,1272.0
88,17370.84,16577.0,22654.04,20809.22
89,1687.34,1479.94,1574.0,1241.33
90,1674.71,2665.9,3437.05,4055.33
91,1215.07,957.93,1782.28,1962.61
92,2161.17,2249.36,2184.55,3328.27
93,2479.87,3274.69,4116.23,5442.32
94,2036.13,1895.63,2924.71,2842.84
95,570.0,600.0,941.0,681.0
96,3102.19,2022.05,2442.63,2535.03
97,3720.81,2992.63,3768.56,4388.44
98,1719.18,2269.31,3106.81,2665.96
99,1127.09,1220.34,1482.55,1940.6
