id,keiei-pos,keiei-neu,keiei-neg,risk-pos,risk-neu,risk-neg,money-pos,money-neu,money-neg,contract-pos,contract-neu,contract-neg,reserch-pos,reserch-neu,reserch-neg
0,0.05,0.94,0.01,0.05,0.94,0.01,0.02,0.97,0.01,0.02,0.98,0.0,0.01,0.99,0.0
1,0.03,0.96,0.01,0.03,0.97,0.0,0.02,0.98,0.0,0.21,0.67,0.12,0.21,0.67,0.12
2,0.05,0.91,0.04,0.05,0.94,0.01,0.06,0.93,0.01,0.06,0.93,0.01,0.21,0.67,0.12
3,0.02,0.97,0.01,0.06,0.93,0.01,0.01,0.99,0.0,0.02,0.98,0.0,0.21,0.67,0.12
4,0.02,0.97,0.01,0.05,0.94,0.01,0.66,0.29,0.05,0.2,0.71,0.09,0.21,0.67,0.12
5,0.03,0.97,0.0,0.05,0.94,0.01,0.01,0.99,0.0,0.21,0.67,0.12,0.03,0.97,0.0
6,0.02,0.98,0.0,0.05,0.95,0.0,0.01,0.99,0.0,0.2,0.71,0.09,0.09,0.89,0.02
7,0.06,0.93,0.01,0.06,0.93,0.01,0.08,0.9,0.02,0.26,0.7,0.04,0.06,0.93,0.01
8,0.12,0.87,0.01,0.06,0.93,0.01,0.02,0.98,0.0,0.2,0.71,0.09,0.03,0.96,0.01
9,0.06,0.93,0.01,0.07,0.92,0.01,0.01,0.99,0.0,0.15,0.79,0.06,0.21,0.67,0.12
10,0.08,0.9,0.02,0.06,0.93,0.01,0.03,0.96,0.01,0.28,0.69,0.03,0.21,0.67,0.12
11,0.01,0.99,0.0,0.07,0.92,0.01,0.01,0.99,0.0,0.2,0.71,0.09,0.06,0.92,0.02
12,0.05,0.94,0.01,0.06,0.93,0.01,0.06,0.93,0.01,0.2,0.71,0.09,0.05,0.94,0.01
13,0.05,0.94,0.01,0.02,0.98,0.0,0.01,0.99,0.0,0.21,0.67,0.12,0.06,0.93,0.01
14,0.04,0.95,0.01,0.06,0.93,0.01,0.06,0.92,0.02,0.2,0.71,0.09,0.16,0.8,0.04
15,0.04,0.95,0.01,0.05,0.94,0.01,0.01,0.99,0.0,0.01,0.99,0.0,0.21,0.67,0.12
16,0.03,0.96,0.01,0.05,0.94,0.01,0.01,0.99,0.0,0.14,0.83,0.03,0.08,0.88,0.04
17,0.06,0.93,0.01,0.05,0.94,0.01,0.02,0.97,0.01,0.24,0.73,0.03,0.09,0.9,0.01
18,0.05,0.94,0.01,0.04,0.96,0.0,0.0,1.0,0.0,0.21,0.67,0.12,0.04,0.95,0.01
19,0.16,0.8,0.04,0.05,0.94,0.01,0.03,0.96,0.01,0.02,0.97,0.01,0.04,0.95,0.01
20,0.06,0.93,0.01,0.04,0.95,0.01,0.02,0.98,0.0,0.0,1.0,0.0,0.03,0.96,0.01
21,0.04,0.95,0.01,0.03,0.97,0.0,0.03,0.96,0.01,0.0,1.0,0.0,0.07,0.91,0.02
